               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05217,            0.034319,            0.025576,             0.32768,             0.56426,              0.3837,             0.13962,            0.034569,            0.019444,            0.011063,           0.0033308,           0.0033308,            0.070023
                   1,            0.039306,             0.03071,            0.011584,             0.45914,              0.5192,             0.43612,             0.22432,            0.029278,            0.019467,            0.009535,           0.0066638,           0.0066638,            0.040023
                   2,            0.036717,             0.03048,            0.010798,             0.38428,             0.60054,             0.41709,             0.19781,            0.031264,            0.019599,            0.010627,           0.0099954,           0.0099954,            0.010021
                   3,            0.034808,            0.030272,            0.010247,             0.45877,             0.58831,             0.49774,             0.26077,            0.029353,            0.018272,           0.0077945,           0.0099956,           0.0099956,           0.0099956
                   4,            0.033366,            0.029869,            0.009374,             0.46806,             0.57187,             0.51024,             0.28784,            0.027144,             0.01815,           0.0074558,           0.0099956,           0.0099956,           0.0099956
                   5,            0.032754,            0.029644,            0.009021,             0.46191,             0.59873,             0.52711,             0.29384,            0.026454,            0.017848,           0.0071324,           0.0099921,           0.0099921,           0.0099921
                   6,            0.032299,             0.02957,           0.0086048,             0.46485,             0.62656,             0.54149,             0.30783,            0.026744,              0.0174,           0.0064619,           0.0099877,           0.0099877,           0.0099877
                   7,             0.03192,            0.029071,           0.0084184,             0.48887,             0.61959,             0.55305,             0.31954,            0.025334,             0.01739,           0.0062399,           0.0099822,           0.0099822,           0.0099822
                   8,            0.031852,            0.029119,           0.0082327,             0.50118,              0.6032,             0.55512,             0.31524,            0.026912,            0.017351,           0.0061413,           0.0099758,           0.0099758,           0.0099758
                   9,             0.03168,            0.028891,           0.0080056,             0.51641,             0.60814,             0.56443,             0.32927,            0.025154,            0.017258,            0.006061,           0.0099685,           0.0099685,           0.0099685
                  10,            0.031509,            0.028854,           0.0080875,             0.52042,             0.62093,             0.57265,             0.33682,            0.024899,            0.017158,           0.0059925,           0.0099601,           0.0099601,           0.0099601
                  11,            0.031367,            0.028746,            0.007873,             0.50363,             0.64543,             0.58032,             0.34015,            0.024771,            0.017175,           0.0058441,           0.0099508,           0.0099508,           0.0099508
                  12,            0.031195,            0.028648,           0.0077628,             0.53017,             0.61882,             0.58074,              0.3414,            0.024807,            0.016977,           0.0058216,           0.0099404,           0.0099404,           0.0099404
                  13,            0.031161,            0.028505,           0.0077445,             0.52206,             0.63928,             0.58835,             0.34818,             0.02459,            0.017117,            0.005557,           0.0099291,           0.0099291,           0.0099291
                  14,            0.031057,            0.028573,           0.0076719,             0.52904,             0.63539,             0.59214,             0.34995,            0.024509,            0.016902,           0.0056051,           0.0099169,           0.0099169,           0.0099169
                  15,            0.030944,            0.028569,           0.0076361,             0.53403,              0.6352,             0.59519,              0.3521,             0.02445,            0.016933,           0.0055893,           0.0099037,           0.0099037,           0.0099037
                  16,            0.030978,            0.028447,           0.0077626,              0.5333,             0.63793,             0.59609,             0.35291,            0.024409,            0.016833,           0.0055273,           0.0098895,           0.0098895,           0.0098895
                  17,            0.030777,            0.028354,           0.0076343,             0.53759,             0.63829,             0.59895,             0.35611,             0.02439,             0.01686,           0.0054821,           0.0098743,           0.0098743,           0.0098743
                  18,            0.030799,            0.028215,           0.0074949,             0.54267,             0.63304,             0.60076,              0.3565,            0.024435,            0.016929,             0.00548,           0.0098582,           0.0098582,           0.0098582
                  19,            0.030721,            0.028183,           0.0075558,             0.54771,             0.62751,             0.60201,             0.35669,            0.024458,            0.016927,           0.0054604,           0.0098412,           0.0098412,           0.0098412
                  20,            0.030722,             0.02823,           0.0074438,              0.5416,             0.63449,             0.60275,             0.35761,            0.024395,            0.016991,           0.0054354,           0.0098232,           0.0098232,           0.0098232
                  21,            0.030679,            0.028035,           0.0075303,             0.54774,             0.62828,             0.60418,             0.35898,            0.024335,             0.01698,           0.0054322,           0.0098042,           0.0098042,           0.0098042
