               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065726,            0.053769,            0.035928,             0.21143,             0.43028,             0.25202,             0.12308,            0.043344,            0.038039,            0.017859,           0.0033329,           0.0033329,            0.070004
                   1,            0.049691,            0.052803,            0.018362,             0.31094,             0.42567,             0.32319,             0.16326,             0.04058,            0.036162,            0.013602,            0.006665,            0.006665,            0.040002
                   2,            0.047968,            0.053333,            0.016965,             0.30427,             0.43724,             0.32301,             0.17074,            0.040005,            0.036043,            0.013305,           0.0099917,           0.0099917,           0.0099957
                   3,            0.045741,            0.052703,            0.016342,             0.33006,             0.45581,             0.34797,             0.18747,            0.039169,            0.035765,            0.012614,           0.0099822,           0.0099822,           0.0099822
                   4,            0.043683,            0.052387,            0.014907,              0.3406,             0.45062,             0.35761,             0.19717,            0.038118,            0.035478,            0.011533,           0.0099822,           0.0099822,           0.0099822
                   5,            0.042771,            0.052257,            0.014265,             0.36421,             0.45027,             0.36611,             0.20318,            0.037519,            0.035474,            0.011144,           0.0099685,           0.0099685,           0.0099685
                   6,             0.04196,             0.05133,            0.013874,             0.38429,             0.45271,             0.37818,             0.21226,            0.036484,            0.034915,            0.010752,           0.0099508,           0.0099508,           0.0099508
                   7,             0.04142,            0.052065,            0.013318,             0.40525,             0.44216,             0.38314,             0.21707,             0.03612,            0.035154,            0.010738,           0.0099291,           0.0099291,           0.0099291
                   8,            0.041103,            0.050895,            0.013014,             0.40828,             0.46627,             0.39429,             0.22636,            0.035401,             0.03473,            0.010327,           0.0099037,           0.0099037,           0.0099037
                   9,            0.040832,            0.051032,            0.012778,             0.40628,             0.46089,             0.39307,             0.22546,            0.035545,            0.034719,            0.010318,           0.0098743,           0.0098743,           0.0098743
                  10,            0.040606,            0.050822,            0.012491,             0.41588,             0.46898,             0.39953,             0.22979,            0.035332,            0.034646,            0.010275,           0.0098412,           0.0098412,           0.0098412
                  11,            0.040135,            0.050033,            0.012299,             0.37346,             0.49732,             0.40623,             0.23333,            0.035138,            0.034377,             0.01007,           0.0098042,           0.0098042,           0.0098042
                  12,            0.040225,            0.050705,            0.012305,             0.41634,             0.46944,             0.40766,             0.23641,            0.034779,            0.034465,           0.0099929,           0.0097635,           0.0097635,           0.0097635
                  13,            0.039997,            0.050045,            0.012119,             0.39256,             0.49371,             0.40903,             0.23698,            0.034699,            0.034424,           0.0099859,           0.0097191,           0.0097191,           0.0097191
                  14,            0.039627,            0.050403,            0.011975,              0.3888,             0.50463,             0.41372,              0.2408,            0.034498,            0.034309,           0.0097571,            0.009671,            0.009671,            0.009671
                  15,            0.039687,             0.05022,            0.011797,              0.4254,             0.47828,             0.41689,             0.24338,            0.034375,            0.034384,           0.0097623,           0.0096193,           0.0096193,           0.0096193
                  16,            0.039557,            0.050357,            0.011545,             0.42359,             0.48373,             0.41851,             0.24496,            0.034141,            0.034451,           0.0097101,            0.009564,            0.009564,            0.009564
                  17,            0.039298,            0.049804,            0.011511,              0.4066,             0.49989,              0.4196,             0.24515,              0.0341,            0.034372,           0.0097597,           0.0095052,           0.0095052,           0.0095052
                  18,            0.039351,            0.050264,            0.011555,             0.40851,             0.50118,             0.42177,             0.24704,            0.033953,            0.034406,            0.009708,            0.009443,            0.009443,            0.009443
