               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068478,            0.052491,            0.034989,             0.21317,             0.34794,             0.22578,             0.10152,            0.046812,            0.039719,            0.019783,           0.0033301,           0.0033301,            0.070029
                   1,            0.052348,            0.052513,            0.017191,             0.25405,             0.32635,             0.22833,             0.10076,            0.053826,            0.039898,            0.031587,           0.0066633,           0.0066633,            0.040029
                   2,            0.049339,             0.05277,            0.015773,              0.2711,             0.41112,             0.28399,             0.13943,            0.044153,            0.039998,            0.015502,           0.0099959,           0.0099959,            0.010028
                   3,            0.047164,            0.052498,             0.01457,             0.28431,             0.43511,             0.29672,             0.16167,            0.040743,            0.038108,            0.014276,            0.009998,            0.009998,            0.009998
                   4,            0.045602,            0.052245,            0.013529,             0.29053,             0.40811,             0.28995,             0.15874,            0.040792,            0.038723,            0.015692,            0.009998,            0.009998,            0.009998
                   5,            0.044538,            0.051627,            0.012919,             0.37972,             0.42672,             0.35409,             0.19735,            0.039661,            0.038102,            0.011226,           0.0099965,           0.0099965,           0.0099965
                   6,            0.044052,            0.051442,            0.012495,             0.36244,             0.45652,             0.36641,             0.20518,            0.038199,            0.036665,            0.010321,           0.0099945,           0.0099945,           0.0099945
                   7,            0.043651,            0.051601,            0.011909,             0.39769,             0.42597,             0.36305,             0.20639,            0.037596,            0.036369,            0.010238,           0.0099921,           0.0099921,           0.0099921
                   8,            0.043182,            0.050859,            0.011905,             0.40252,             0.44124,             0.37457,             0.21531,            0.037588,            0.036155,           0.0099614,           0.0099893,           0.0099893,           0.0099893
                   9,            0.043143,            0.050628,            0.011585,             0.38045,             0.46129,             0.37815,             0.21373,            0.037981,            0.036006,           0.0097708,            0.009986,            0.009986,            0.009986
                  10,            0.042671,            0.050678,            0.011399,             0.40356,             0.45458,             0.38131,             0.21864,            0.037388,            0.035648,            0.010199,           0.0099822,           0.0099822,           0.0099822
                  11,            0.042555,            0.050023,            0.011439,             0.37205,             0.48749,             0.39109,             0.22613,            0.037006,            0.035485,           0.0094369,           0.0099781,           0.0099781,           0.0099781
                  12,            0.042192,            0.050217,            0.011261,             0.40542,             0.44675,             0.39056,             0.22075,            0.037977,            0.035659,           0.0095741,           0.0099735,           0.0099735,           0.0099735
                  13,            0.042159,            0.050064,             0.01114,             0.39217,             0.48493,             0.39804,             0.23117,            0.036438,            0.035337,           0.0093282,           0.0099685,           0.0099685,           0.0099685
                  14,            0.042125,            0.050612,            0.010913,             0.39738,             0.48423,             0.40159,             0.23461,            0.036256,            0.035196,           0.0091708,            0.009963,            0.009963,            0.009963
                  15,            0.041887,            0.049981,            0.010859,             0.41384,             0.46887,             0.40606,             0.23778,            0.036148,            0.035108,           0.0090028,           0.0099571,           0.0099571,           0.0099571
                  16,            0.042037,             0.05021,            0.010795,             0.40627,             0.48327,             0.41079,             0.23841,            0.036294,             0.03513,           0.0088637,           0.0099508,           0.0099508,           0.0099508
                  17,            0.041684,            0.049645,            0.010887,             0.40535,             0.47963,             0.41232,             0.23954,            0.036237,            0.035045,           0.0089184,            0.009944,            0.009944,            0.009944
                  18,            0.041682,            0.050252,            0.010696,             0.42873,             0.47228,             0.41852,             0.24615,            0.035737,            0.034854,           0.0087562,           0.0099368,           0.0099368,           0.0099368
                  19,             0.04152,            0.049633,            0.010633,             0.42142,              0.4739,             0.41799,              0.2456,            0.035834,            0.034876,           0.0087036,           0.0099291,           0.0099291,           0.0099291
                  20,            0.041346,            0.049092,            0.010696,              0.3964,              0.5047,             0.42076,             0.24696,            0.035666,            0.034716,            0.008672,           0.0099211,           0.0099211,           0.0099211
                  21,            0.041279,            0.049707,            0.010606,             0.42715,             0.48114,             0.42311,             0.24923,             0.03553,            0.034678,           0.0086393,           0.0099126,           0.0099126,           0.0099126
                  22,            0.041567,            0.050388,            0.010178,             0.42758,              0.4808,             0.42465,              0.2504,            0.035417,            0.034652,           0.0085748,           0.0099037,           0.0099037,           0.0099037
                  23,            0.041537,            0.050104,            0.010286,             0.41638,              0.4923,             0.42573,             0.25096,            0.035427,            0.034685,           0.0085556,           0.0098943,           0.0098943,           0.0098943
                  24,            0.041346,            0.049417,            0.010523,              0.4289,             0.48726,             0.42682,             0.25185,            0.035353,            0.034599,            0.008567,           0.0098845,           0.0098845,           0.0098845
                  25,            0.041448,            0.049872,            0.010346,             0.41174,             0.50086,             0.42826,             0.25286,              0.0353,            0.034551,            0.008534,           0.0098743,           0.0098743,           0.0098743
                  26,            0.041286,            0.049258,            0.010206,             0.42198,             0.49375,             0.42958,             0.25381,            0.035271,            0.034466,            0.008523,           0.0098637,           0.0098637,           0.0098637
                  27,            0.041031,            0.049339,            0.010168,             0.41418,             0.50423,             0.43046,             0.25466,            0.035219,             0.03446,            0.008488,           0.0098527,           0.0098527,           0.0098527
                  28,             0.04108,            0.049267,            0.010128,             0.43502,             0.48586,             0.43096,             0.25508,            0.035186,            0.034423,           0.0084913,           0.0098412,           0.0098412,           0.0098412
                  29,            0.041104,            0.049255,            0.010197,               0.432,             0.48986,             0.43113,             0.25541,            0.035168,            0.034417,           0.0084845,           0.0098293,           0.0098293,           0.0098293
                  30,            0.041156,            0.049566,             0.01012,             0.44653,             0.47891,              0.4313,             0.25552,            0.035134,            0.034411,           0.0084747,            0.009817,            0.009817,            0.009817
                  31,            0.041092,             0.04926,            0.010017,             0.42742,             0.49506,             0.43219,             0.25637,            0.035106,             0.03442,           0.0084644,           0.0098042,           0.0098042,           0.0098042
                  32,            0.040841,            0.049064,            0.010073,             0.43306,             0.49128,             0.43273,             0.25704,            0.035088,            0.034387,           0.0084575,           0.0097911,           0.0097911,           0.0097911
                  33,            0.040716,            0.048809,            0.010118,             0.44659,             0.48192,              0.4335,             0.25749,            0.035064,            0.034353,           0.0084505,           0.0097775,           0.0097775,           0.0097775
                  34,            0.040862,            0.049007,             0.01005,             0.44337,             0.48437,             0.43385,             0.25815,            0.035042,            0.034339,            0.008447,           0.0097635,           0.0097635,           0.0097635
                  35,            0.040704,            0.048778,            0.010038,             0.44627,             0.48318,              0.4345,             0.25843,            0.035022,            0.034327,           0.0084386,           0.0097491,           0.0097491,           0.0097491
                  36,             0.04082,            0.048947,            0.010083,               0.446,             0.48303,             0.43474,             0.25864,            0.035014,            0.034304,           0.0084322,           0.0097343,           0.0097343,           0.0097343
                  37,            0.040763,            0.048686,            0.010027,             0.45091,             0.48052,             0.43514,             0.25896,            0.035012,            0.034275,           0.0084296,           0.0097191,           0.0097191,           0.0097191
                  38,            0.040796,            0.048918,           0.0099694,             0.44139,              0.4881,             0.43585,             0.25941,            0.035004,            0.034262,           0.0084182,           0.0097035,           0.0097035,           0.0097035
                  39,            0.040546,            0.048666,           0.0098799,             0.44844,             0.48353,             0.43624,             0.25954,             0.03499,            0.034251,           0.0084146,           0.0096875,           0.0096875,           0.0096875
                  40,            0.040739,            0.048961,           0.0098962,             0.45295,             0.48134,             0.43662,             0.25964,            0.034983,            0.034248,           0.0084075,            0.009671,            0.009671,            0.009671
                  41,            0.040713,              0.0489,           0.0097523,             0.45629,             0.47958,             0.43702,             0.25971,            0.034975,            0.034239,           0.0084001,           0.0096542,           0.0096542,           0.0096542
                  42,            0.040788,            0.049203,           0.0097287,             0.45796,             0.47842,             0.43724,             0.25994,            0.034966,             0.03424,            0.008397,           0.0096369,           0.0096369,           0.0096369
                  43,            0.040729,            0.049008,           0.0097259,             0.45717,             0.47934,             0.43765,             0.26016,            0.034959,            0.034226,           0.0083899,           0.0096193,           0.0096193,           0.0096193
                  44,            0.040538,            0.048727,           0.0097264,             0.45239,             0.48341,             0.43792,             0.26053,            0.034949,            0.034215,           0.0083828,           0.0096013,           0.0096013,           0.0096013
                  45,            0.040504,            0.048466,           0.0097434,             0.42956,             0.50072,             0.43829,             0.26068,            0.034946,            0.034193,           0.0083736,           0.0095828,           0.0095828,           0.0095828
                  46,            0.040427,            0.048672,           0.0097063,             0.43082,             0.50095,             0.43866,             0.26094,            0.034933,            0.034185,           0.0083661,            0.009564,            0.009564,            0.009564
                  47,            0.040545,            0.048929,           0.0096454,             0.43126,             0.50108,             0.43888,             0.26118,            0.034919,            0.034179,           0.0083611,           0.0095448,           0.0095448,           0.0095448
                  48,            0.040456,            0.048564,           0.0097731,             0.43368,             0.49961,              0.4392,             0.26163,            0.034907,            0.034168,           0.0083551,           0.0095252,           0.0095252,           0.0095252
                  49,            0.040287,            0.048727,           0.0096399,             0.43622,             0.49811,             0.43961,             0.26192,            0.034888,            0.034161,           0.0083445,           0.0095052,           0.0095052,           0.0095052
                  50,            0.040161,            0.048183,           0.0096159,              0.4353,              0.4992,             0.43996,             0.26208,            0.034881,            0.034151,           0.0083386,           0.0094849,           0.0094849,           0.0094849
                  51,            0.040557,            0.048958,           0.0095334,              0.4358,             0.49922,             0.44027,             0.26212,            0.034872,            0.034141,           0.0083325,           0.0094641,           0.0094641,           0.0094641
                  52,            0.040362,            0.049029,           0.0095707,             0.43325,             0.50247,             0.44054,             0.26216,            0.034864,            0.034134,           0.0083262,            0.009443,            0.009443,            0.009443
                  53,            0.040489,            0.048816,            0.009575,             0.45218,             0.48818,             0.44072,             0.26233,            0.034856,             0.03412,           0.0083192,           0.0094215,           0.0094215,           0.0094215
                  54,            0.040321,            0.048387,           0.0095159,             0.43829,             0.50003,             0.44099,              0.2624,            0.034861,            0.034094,           0.0083129,           0.0093996,           0.0093996,           0.0093996
                  55,            0.040313,            0.048282,           0.0097535,             0.44041,             0.49782,             0.44128,             0.26251,            0.034855,            0.034086,           0.0083142,           0.0093773,           0.0093773,           0.0093773
                  56,            0.040235,            0.048806,           0.0094431,             0.43905,             0.49964,              0.4416,             0.26281,            0.034845,             0.03408,           0.0083097,           0.0093547,           0.0093547,           0.0093547
                  57,            0.040238,            0.048029,           0.0095984,             0.44096,             0.49851,             0.44188,              0.2628,             0.03484,            0.034053,           0.0083052,           0.0093317,           0.0093317,           0.0093317
                  58,            0.040133,            0.048198,           0.0095823,             0.43874,             0.50018,               0.442,             0.26283,            0.034829,             0.03404,           0.0082956,           0.0093083,           0.0093083,           0.0093083
                  59,            0.040553,             0.04878,           0.0095105,             0.43341,              0.5049,             0.44222,             0.26311,            0.034819,            0.034033,           0.0082909,           0.0092846,           0.0092846,           0.0092846
                  60,            0.040067,            0.048428,           0.0092338,             0.42785,             0.51067,             0.44241,             0.26325,            0.034814,            0.034022,           0.0082889,           0.0092605,           0.0092605,           0.0092605
                  61,            0.040166,            0.048345,           0.0095165,             0.43299,             0.50658,             0.44278,              0.2634,            0.034802,            0.034013,           0.0082803,           0.0092361,           0.0092361,           0.0092361
                  62,            0.040108,            0.048357,           0.0093221,              0.4468,             0.49588,             0.44305,             0.26378,            0.034794,               0.034,            0.008272,           0.0092113,           0.0092113,           0.0092113
                  63,            0.040074,            0.048055,           0.0092735,             0.44543,             0.49695,              0.4432,             0.26389,            0.034788,             0.03398,           0.0082642,           0.0091861,           0.0091861,           0.0091861
                  64,            0.040121,            0.048211,           0.0093736,             0.43235,             0.50711,              0.4432,             0.26396,            0.034779,            0.033975,           0.0082585,           0.0091606,           0.0091606,           0.0091606
                  65,            0.040056,            0.047679,           0.0093326,             0.42583,              0.5133,             0.44353,             0.26426,            0.034769,            0.033966,           0.0082584,           0.0091348,           0.0091348,           0.0091348
                  66,            0.040055,            0.047895,           0.0094341,             0.43985,             0.50126,              0.4436,             0.26448,            0.034758,             0.03396,           0.0082517,           0.0091086,           0.0091086,           0.0091086
                  67,            0.040012,            0.047629,           0.0092493,             0.42798,             0.51202,             0.44372,             0.26447,            0.034754,            0.033953,           0.0082461,           0.0090821,           0.0090821,           0.0090821
                  68,            0.040046,            0.048209,           0.0092666,             0.43383,             0.50667,             0.44401,             0.26447,            0.034749,            0.033946,           0.0082449,           0.0090552,           0.0090552,           0.0090552
                  69,            0.040002,            0.047623,           0.0094051,             0.42802,             0.51204,             0.44422,             0.26475,            0.034744,            0.033927,           0.0082386,            0.009028,            0.009028,            0.009028
                  70,            0.039851,            0.047492,           0.0093692,             0.43354,             0.50823,             0.44453,             0.26486,            0.034742,            0.033908,           0.0082327,           0.0090004,           0.0090004,           0.0090004
                  71,            0.040067,            0.048172,           0.0093286,             0.43753,             0.50544,             0.44462,             0.26492,            0.034737,            0.033891,           0.0082265,           0.0089726,           0.0089726,           0.0089726
                  72,             0.03997,            0.048314,           0.0092392,             0.43554,             0.50692,             0.44488,             0.26531,            0.034724,            0.033883,           0.0082176,           0.0089444,           0.0089444,           0.0089444
                  73,            0.040006,            0.047813,           0.0092608,             0.42476,             0.51623,             0.44514,             0.26536,            0.034719,            0.033867,           0.0082107,           0.0089159,           0.0089159,           0.0089159
                  74,            0.039916,            0.047968,           0.0092186,              0.4268,             0.51513,              0.4455,             0.26551,            0.034718,            0.033846,           0.0082014,            0.008887,            0.008887,            0.008887
                  75,             0.03991,            0.047896,           0.0092653,             0.42293,             0.51896,             0.44553,             0.26554,             0.03472,            0.033833,           0.0082004,           0.0088579,           0.0088579,           0.0088579
                  76,             0.03989,            0.048126,           0.0092571,             0.42711,             0.51589,             0.44587,             0.26575,            0.034719,            0.033821,           0.0081943,           0.0088284,           0.0088284,           0.0088284
                  77,            0.039912,            0.048393,           0.0091838,             0.42856,             0.51529,             0.44592,             0.26581,            0.034717,            0.033815,           0.0081899,           0.0087987,           0.0087987,           0.0087987
                  78,            0.039706,            0.047898,           0.0091989,             0.42392,             0.52052,             0.44603,               0.266,            0.034707,            0.033804,           0.0081825,           0.0087686,           0.0087686,           0.0087686
                  79,            0.039915,            0.047752,           0.0092177,             0.42973,             0.51583,             0.44614,              0.2662,            0.034709,            0.033788,           0.0081759,           0.0087382,           0.0087382,           0.0087382
                  80,            0.039868,             0.04829,           0.0090006,             0.42811,             0.51702,             0.44637,             0.26654,            0.034698,            0.033778,           0.0081688,           0.0087075,           0.0087075,           0.0087075
                  81,            0.039665,              0.0478,           0.0091811,             0.42974,             0.51607,              0.4468,              0.2666,            0.034694,             0.03376,           0.0081589,           0.0086765,           0.0086765,           0.0086765
                  82,            0.039581,            0.047847,             0.00897,             0.43381,             0.51297,             0.44694,             0.26661,            0.034688,            0.033747,             0.00815,           0.0086452,           0.0086452,           0.0086452
                  83,            0.039639,            0.047758,           0.0091055,              0.4347,             0.51325,             0.44713,             0.26677,             0.03468,             0.03373,           0.0081409,           0.0086137,           0.0086137,           0.0086137
                  84,            0.039511,            0.047439,           0.0090908,             0.43527,             0.51221,             0.44731,             0.26696,            0.034672,            0.033718,           0.0081306,           0.0085818,           0.0085818,           0.0085818
                  85,            0.039459,            0.047066,            0.008987,             0.43482,              0.5131,             0.44769,              0.2672,            0.034662,            0.033711,           0.0081234,           0.0085497,           0.0085497,           0.0085497
                  86,            0.039597,            0.047844,           0.0089055,             0.43646,             0.51224,             0.44796,             0.26752,            0.034644,            0.033703,           0.0081089,           0.0085173,           0.0085173,           0.0085173
                  87,            0.039751,             0.04779,           0.0090235,             0.43451,             0.51332,             0.44821,             0.26778,             0.03463,            0.033695,           0.0081015,           0.0084846,           0.0084846,           0.0084846
                  88,            0.039769,            0.047609,           0.0089169,             0.43694,               0.512,             0.44856,             0.26791,            0.034625,            0.033676,           0.0080943,           0.0084516,           0.0084516,           0.0084516
                  89,            0.039681,            0.047806,           0.0090099,             0.44169,             0.50838,             0.44888,             0.26806,            0.034619,            0.033663,           0.0080851,           0.0084184,           0.0084184,           0.0084184
                  90,            0.039532,            0.047202,           0.0091265,              0.4435,              0.5067,             0.44894,             0.26821,            0.034608,            0.033653,            0.008078,           0.0083849,           0.0083849,           0.0083849
                  91,            0.039608,             0.04782,           0.0090334,             0.42986,             0.51701,              0.4491,             0.26836,            0.034586,            0.033651,           0.0080625,           0.0083511,           0.0083511,           0.0083511
                  92,            0.039695,            0.047655,            0.008996,             0.43162,             0.51587,             0.44934,             0.26871,             0.03458,            0.033649,           0.0080529,           0.0083171,           0.0083171,           0.0083171
                  93,            0.039529,            0.047636,           0.0090394,             0.43539,             0.51322,             0.44948,             0.26878,            0.034571,            0.033638,           0.0080448,           0.0082829,           0.0082829,           0.0082829
                  94,            0.039456,            0.047608,           0.0088875,              0.4326,             0.51528,                0.45,             0.26915,            0.034559,            0.033632,           0.0080373,           0.0082483,           0.0082483,           0.0082483
                  95,             0.03964,            0.047408,           0.0087398,             0.43143,              0.5167,             0.45028,              0.2694,            0.034553,            0.033631,           0.0080304,           0.0082136,           0.0082136,           0.0082136
                  96,            0.039364,            0.047296,           0.0088155,             0.42622,             0.52139,             0.45021,             0.26946,            0.034553,            0.033626,           0.0080292,           0.0081786,           0.0081786,           0.0081786
                  97,            0.039418,            0.047009,           0.0088819,              0.4246,             0.52333,             0.45044,             0.26956,            0.034542,            0.033619,           0.0080265,           0.0081433,           0.0081433,           0.0081433
                  98,            0.039471,            0.047206,           0.0088073,             0.42437,             0.52401,             0.45055,             0.26975,            0.034533,            0.033616,           0.0080265,           0.0081078,           0.0081078,           0.0081078
                  99,            0.039501,             0.04695,           0.0089061,             0.42499,             0.52276,             0.45056,             0.26977,            0.034528,            0.033611,            0.008026,           0.0080721,           0.0080721,           0.0080721
                 100,            0.039454,            0.047601,           0.0088038,             0.45679,             0.49659,              0.4507,             0.26966,            0.034522,            0.033607,           0.0080166,           0.0080362,           0.0080362,           0.0080362
