               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067477,            0.027423,             0.03378,             0.19049,             0.41963,             0.21001,             0.06348,            0.060149,            0.019238,            0.026654,           0.0033292,           0.0033292,            0.070037
                   1,            0.050704,            0.026854,            0.017509,             0.28647,             0.45679,             0.31729,             0.13921,            0.046103,             0.01737,             0.01713,           0.0066623,           0.0066623,            0.040037
                   2,            0.048309,            0.027031,            0.016535,             0.28308,             0.45832,             0.29933,             0.13199,            0.047253,            0.016969,            0.021815,           0.0099946,           0.0099946,            0.010036
                   3,            0.046793,            0.026858,            0.015762,             0.34424,             0.47525,             0.36089,             0.18922,            0.042368,            0.016966,            0.017902,           0.0099972,           0.0099972,           0.0099972
                   4,            0.045275,            0.026635,            0.014528,             0.31867,             0.48985,             0.35757,             0.16454,            0.048275,            0.015969,            0.016708,           0.0099972,           0.0099972,           0.0099972
                   5,            0.044469,            0.026368,             0.01388,             0.37221,             0.53797,             0.42608,             0.22995,             0.03931,            0.015967,            0.010747,           0.0099949,           0.0099949,           0.0099949
                   6,            0.043933,            0.026395,            0.013333,             0.38421,             0.52629,              0.4289,              0.2308,            0.040367,            0.016389,            0.011001,           0.0099921,           0.0099921,           0.0099921
                   7,            0.043657,            0.026124,            0.013221,             0.40109,             0.54041,             0.44519,             0.24024,            0.039708,            0.016314,            0.009937,           0.0099886,           0.0099886,           0.0099886
                   8,              0.0433,            0.025988,            0.012871,             0.40527,             0.55264,             0.45034,             0.25179,            0.037483,            0.015724,           0.0096185,           0.0099845,           0.0099845,           0.0099845
                   9,            0.043267,            0.026144,            0.012685,             0.42043,             0.55016,             0.45978,             0.24974,            0.038753,            0.015506,           0.0093607,           0.0099798,           0.0099798,           0.0099798
