               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   6,            0.039827,            0.019665,            0.009848,             0.44244,             0.58936,             0.49893,             0.27688,            0.035787,            0.012034,           0.0085486,           0.0099877,           0.0099877,           0.0099877
                   7,            0.039717,            0.019651,           0.0095711,             0.46693,             0.58151,             0.51963,             0.28139,            0.037146,            0.011851,           0.0078955,           0.0099508,           0.0099508,           0.0099508
                   8,            0.039532,             0.01957,           0.0094965,             0.43514,             0.59094,             0.47848,             0.26976,            0.034904,            0.012537,           0.0085641,            0.009933,            0.009933,            0.009933
                   9,            0.039376,            0.019532,           0.0093235,             0.43461,               0.603,             0.49094,             0.27143,            0.035622,            0.011958,           0.0083341,           0.0099126,           0.0099126,           0.0099126
                  10,            0.039546,            0.019588,           0.0094277,             0.46462,             0.61617,             0.53114,             0.30314,            0.034347,            0.011756,           0.0076702,           0.0098895,           0.0098895,           0.0098895
                  11,            0.039322,            0.019477,            0.009361,             0.47525,             0.62517,             0.54265,             0.29942,            0.035756,             0.01177,           0.0072118,           0.0098637,           0.0098637,           0.0098637
                  12,            0.039423,            0.019579,           0.0093392,             0.47237,             0.64281,             0.55182,             0.31156,            0.034926,            0.011688,           0.0070065,           0.0098353,           0.0098353,           0.0098353
                  13,            0.039316,            0.019533,           0.0094357,               0.477,             0.63582,             0.54946,             0.31671,            0.033462,            0.011478,           0.0070508,           0.0098042,           0.0098042,           0.0098042
                  14,            0.039237,             0.01946,           0.0092951,             0.50231,             0.63462,             0.56841,             0.32389,            0.033897,             0.01166,           0.0068821,           0.0097706,           0.0097706,           0.0097706
                  15,            0.039014,            0.019483,           0.0093508,             0.50295,             0.64093,             0.57241,             0.32849,            0.033758,            0.011475,           0.0067893,           0.0097343,           0.0097343,           0.0097343
                  16,            0.039185,            0.019476,           0.0092127,             0.52657,             0.62917,             0.57681,              0.3375,            0.032924,            0.011495,           0.0066278,           0.0096955,           0.0096955,           0.0096955
                  17,            0.038951,            0.019472,           0.0091838,             0.53639,             0.62709,             0.58144,             0.34076,            0.032685,            0.011489,           0.0065259,           0.0096542,           0.0096542,           0.0096542
                  18,            0.038959,            0.019418,           0.0091831,             0.52945,             0.63086,             0.58395,             0.33917,            0.032979,            0.011488,           0.0065874,           0.0096103,           0.0096103,           0.0096103
                  19,            0.039097,            0.019474,           0.0092813,             0.52101,               0.638,             0.58236,             0.33881,            0.033022,            0.011568,           0.0064888,            0.009564,            0.009564,            0.009564
                  20,            0.039003,            0.019429,           0.0092831,             0.52411,             0.63202,             0.58557,              0.3433,            0.032658,             0.01155,           0.0064758,           0.0095153,           0.0095153,           0.0095153
                  21,            0.038898,            0.019468,           0.0091256,             0.52374,             0.63205,             0.58549,             0.34328,            0.032758,            0.011577,           0.0064598,           0.0094641,           0.0094641,           0.0094641
                  22,            0.038718,            0.019343,           0.0090229,             0.52903,             0.63174,             0.58834,             0.34463,            0.032651,            0.011578,           0.0064396,           0.0094106,           0.0094106,           0.0094106
                  23,            0.038824,            0.019317,           0.0090944,             0.52141,             0.64276,             0.58835,              0.3458,            0.032472,            0.011584,           0.0064388,           0.0093547,           0.0093547,           0.0093547
                  24,            0.038772,            0.019313,           0.0091193,             0.53148,             0.63449,             0.58923,             0.34671,            0.032455,            0.011643,           0.0064769,           0.0092965,           0.0092965,           0.0092965
                  25,            0.038612,            0.019221,           0.0089827,             0.53882,             0.62935,             0.59002,             0.34815,            0.032352,            0.011645,           0.0064577,           0.0092361,           0.0092361,           0.0092361
                  26,             0.03865,            0.019338,           0.0088351,              0.5342,             0.63548,             0.59013,             0.34849,            0.032325,            0.011647,           0.0064422,           0.0091734,           0.0091734,           0.0091734
                  27,            0.038418,            0.019106,            0.008823,             0.52613,             0.64391,             0.58978,             0.34835,            0.032329,            0.011651,           0.0064355,           0.0091086,           0.0091086,           0.0091086
                  28,            0.038474,            0.019208,           0.0088852,             0.53307,             0.63687,             0.59019,             0.34847,            0.032311,            0.011647,           0.0064152,           0.0090416,           0.0090416,           0.0090416
                  29,             0.03854,            0.019267,            0.008944,             0.52599,             0.64566,             0.59038,             0.34854,            0.032309,            0.011649,           0.0064057,           0.0089726,           0.0089726,           0.0089726
                  30,            0.038481,            0.019345,           0.0089719,              0.5327,             0.63934,             0.59046,             0.34865,              0.0323,            0.011644,            0.006393,           0.0089015,           0.0089015,           0.0089015
                  31,            0.038628,            0.019232,           0.0090204,             0.51572,             0.65909,             0.59005,             0.34862,            0.032307,            0.011653,            0.006403,           0.0088284,           0.0088284,           0.0088284
                  32,            0.038282,            0.019154,           0.0088689,             0.53569,             0.63663,             0.58983,             0.34871,            0.032289,            0.011656,           0.0064117,           0.0087534,           0.0087534,           0.0087534
                  33,            0.038297,            0.019136,           0.0088157,             0.53134,             0.64167,             0.58979,             0.34876,            0.032285,            0.011652,           0.0064207,           0.0086765,           0.0086765,           0.0086765
                  34,            0.038264,            0.019246,           0.0086883,             0.52381,              0.6516,             0.58994,             0.34892,            0.032283,            0.011644,           0.0064202,           0.0085978,           0.0085978,           0.0085978
                  35,            0.038271,            0.019371,           0.0087774,             0.52264,             0.65325,             0.58995,             0.34885,            0.032286,            0.011647,           0.0064205,           0.0085173,           0.0085173,           0.0085173
                  36,            0.038169,            0.019179,            0.008798,             0.52577,             0.64929,             0.58992,             0.34894,            0.032294,            0.011648,           0.0064196,            0.008435,            0.008435,            0.008435
                  37,            0.038245,            0.019297,           0.0087306,             0.52714,             0.64897,             0.59022,             0.34901,            0.032304,            0.011643,            0.006416,           0.0083511,           0.0083511,           0.0083511
                  38,            0.038058,            0.019046,            0.008786,             0.52746,             0.64749,             0.59032,             0.34904,            0.032324,            0.011633,           0.0064114,           0.0082656,           0.0082656,           0.0082656
                  39,            0.038038,            0.019094,           0.0086348,             0.51976,             0.65643,             0.58998,             0.34895,            0.032378,            0.011631,           0.0064048,           0.0081786,           0.0081786,           0.0081786
                  40,            0.037979,            0.019043,           0.0086071,              0.5263,             0.64921,             0.59068,             0.34908,            0.032378,            0.011605,           0.0063969,             0.00809,             0.00809,             0.00809
                  41,            0.038077,            0.019017,           0.0087193,             0.51997,             0.65484,             0.59062,             0.34876,            0.032411,            0.011602,           0.0063966,               0.008,               0.008,               0.008
                  42,            0.038099,            0.019066,            0.008579,             0.52111,             0.65243,             0.59043,             0.34818,            0.032447,            0.011597,           0.0063913,           0.0079086,           0.0079086,           0.0079086
                  43,            0.038093,            0.019142,           0.0086106,             0.51916,             0.65427,             0.59097,             0.34824,            0.032488,            0.011603,           0.0063855,            0.007816,            0.007816,            0.007816
                  44,            0.037773,            0.019035,           0.0084851,             0.51892,             0.65386,             0.59114,             0.34828,            0.032514,            0.011599,           0.0063827,            0.007722,            0.007722,            0.007722
                  45,            0.037855,            0.019063,           0.0085354,              0.5426,             0.62872,              0.5911,             0.34824,            0.032532,            0.011596,           0.0063797,           0.0076269,           0.0076269,           0.0076269
                  46,            0.037688,            0.019019,           0.0083822,             0.53974,             0.63142,             0.59194,             0.34843,            0.032523,            0.011585,            0.006372,           0.0075307,           0.0075307,           0.0075307
                  47,            0.037634,            0.019214,           0.0085258,             0.53476,             0.63606,             0.59137,             0.34848,            0.032521,            0.011583,           0.0063729,           0.0074335,           0.0074335,           0.0074335
                  48,            0.037782,            0.018985,           0.0084648,             0.52489,             0.64559,             0.59124,             0.34845,            0.032509,            0.011588,           0.0063707,           0.0073352,           0.0073352,           0.0073352
                  49,            0.037695,             0.01903,           0.0084781,             0.52329,             0.64719,             0.59152,             0.34858,            0.032485,            0.011581,           0.0063662,           0.0072361,           0.0072361,           0.0072361
                  50,            0.037549,            0.019016,           0.0083408,              0.5228,             0.64799,             0.59168,             0.34903,            0.032485,            0.011575,           0.0063659,           0.0071361,           0.0071361,           0.0071361
                  51,            0.037608,            0.019031,           0.0083196,              0.5342,             0.63573,             0.59174,             0.34912,            0.032499,            0.011576,           0.0063606,           0.0070353,           0.0070353,           0.0070353
                  52,            0.037465,            0.018929,           0.0083796,             0.52894,             0.64218,             0.59223,             0.34921,             0.03252,            0.011569,             0.00635,           0.0069338,           0.0069338,           0.0069338
                  53,            0.037384,            0.018868,           0.0082569,             0.53507,             0.63668,             0.59282,             0.35001,            0.032503,            0.011557,           0.0063379,           0.0068316,           0.0068316,           0.0068316
                  54,            0.037469,            0.019022,           0.0082248,             0.53601,              0.6366,             0.59311,              0.3502,            0.032457,            0.011542,           0.0063343,           0.0067289,           0.0067289,           0.0067289
                  55,            0.037286,            0.018807,            0.008215,             0.53744,             0.63614,             0.59367,              0.3505,            0.032468,            0.011527,            0.006325,           0.0066257,           0.0066257,           0.0066257
                  56,            0.037572,            0.018959,           0.0082788,             0.53226,             0.64125,              0.5938,             0.35144,            0.032379,            0.011498,             0.00632,           0.0065221,           0.0065221,           0.0065221
                  57,            0.037286,            0.018927,           0.0082016,             0.50515,             0.67299,             0.59451,             0.35218,            0.032313,            0.011477,           0.0063168,           0.0064181,           0.0064181,           0.0064181
                  58,            0.037303,            0.018927,           0.0082626,              0.5361,             0.63797,             0.59508,             0.35237,            0.032293,            0.011467,           0.0063106,           0.0063138,           0.0063138,           0.0063138
                  59,            0.037056,             0.01878,           0.0080437,             0.53448,             0.63943,             0.59548,             0.35282,            0.032275,             0.01146,           0.0062988,           0.0062093,           0.0062093,           0.0062093
                  60,            0.037133,            0.018765,           0.0080117,             0.53421,             0.64201,             0.59615,             0.35358,            0.032255,            0.011455,           0.0062837,           0.0061047,           0.0061047,           0.0061047
                  61,            0.037078,            0.018761,           0.0081028,              0.5339,             0.64283,             0.59668,             0.35371,            0.032264,            0.011446,           0.0062686,               0.006,               0.006,               0.006
                  62,            0.037014,            0.018749,           0.0080167,             0.53443,              0.6429,             0.59689,             0.35416,            0.032247,            0.011445,           0.0062563,           0.0058953,           0.0058953,           0.0058953
                  63,            0.036841,            0.018802,           0.0079198,             0.53641,             0.64144,             0.59735,             0.35431,            0.032238,            0.011437,           0.0062497,           0.0057907,           0.0057907,           0.0057907
                  64,            0.037049,            0.018878,           0.0079539,             0.53388,             0.64484,             0.59787,             0.35441,            0.032237,             0.01143,           0.0062369,           0.0056862,           0.0056862,           0.0056862
                  65,            0.037008,            0.018849,           0.0080098,             0.52932,             0.65071,             0.59845,             0.35503,            0.032225,            0.011418,           0.0062268,           0.0055819,           0.0055819,           0.0055819
                  66,             0.03682,             0.01862,           0.0079726,             0.53944,             0.64036,               0.599,             0.35503,            0.032215,            0.011412,           0.0062161,           0.0054779,           0.0054779,           0.0054779
                  67,            0.036701,            0.018728,           0.0077987,             0.54087,             0.64018,             0.59965,             0.35553,            0.032179,            0.011397,           0.0062038,           0.0053743,           0.0053743,           0.0053743
                  68,             0.03658,            0.018731,           0.0077529,             0.54807,             0.63318,             0.60024,             0.35629,            0.032113,            0.011377,           0.0061953,           0.0052711,           0.0052711,           0.0052711
                  69,            0.036781,            0.018805,           0.0076366,             0.54618,             0.63672,             0.60094,             0.35663,            0.032095,            0.011364,           0.0061856,           0.0051684,           0.0051684,           0.0051684
                  70,            0.036648,            0.018606,           0.0078328,             0.55098,             0.63185,             0.60163,             0.35669,            0.032099,            0.011357,            0.006175,           0.0050662,           0.0050662,           0.0050662
                  71,            0.036506,            0.018604,           0.0077858,             0.54884,             0.63443,             0.60232,             0.35733,            0.032101,            0.011343,           0.0061658,           0.0049647,           0.0049647,           0.0049647
                  72,            0.036698,             0.01874,           0.0077005,             0.53888,             0.64641,             0.60314,             0.35795,            0.032081,            0.011329,           0.0061561,           0.0048639,           0.0048639,           0.0048639
                  73,             0.03648,            0.018653,           0.0078256,             0.52162,             0.66562,             0.60393,             0.35829,            0.032085,            0.011325,           0.0061464,           0.0047639,           0.0047639,           0.0047639
                  74,             0.03639,            0.018711,           0.0077407,             0.52979,             0.65826,             0.60458,             0.35848,            0.032086,            0.011318,           0.0061329,           0.0046648,           0.0046648,           0.0046648
                  75,            0.036453,            0.018617,           0.0076262,             0.53311,             0.65512,             0.60496,              0.3587,            0.032082,            0.011316,            0.006121,           0.0045665,           0.0045665,           0.0045665
                  76,            0.036307,            0.018669,           0.0077442,             0.52576,              0.6648,             0.60539,             0.35912,            0.032084,            0.011314,           0.0061076,           0.0044693,           0.0044693,           0.0044693
                  77,             0.03627,            0.018624,           0.0075899,             0.52549,             0.66593,             0.60582,             0.35967,            0.032078,            0.011313,           0.0060917,           0.0043731,           0.0043731,           0.0043731
                  78,            0.036234,            0.018651,           0.0075222,              0.5255,             0.66802,             0.60663,             0.35969,            0.032078,            0.011299,           0.0060833,            0.004278,            0.004278,            0.004278
                  79,            0.036211,            0.018595,           0.0074657,             0.52701,             0.66686,             0.60736,             0.36004,            0.032064,            0.011296,           0.0060763,            0.004184,            0.004184,            0.004184
                  80,            0.036091,            0.018585,           0.0075482,             0.52592,             0.66794,             0.60767,             0.35997,            0.032084,            0.011294,            0.006072,           0.0040914,           0.0040914,           0.0040914
                  81,            0.035936,            0.018397,           0.0074816,             0.52733,             0.66762,             0.60824,              0.3602,            0.032086,            0.011284,           0.0060599,               0.004,               0.004,               0.004
                  82,            0.036126,             0.01866,            0.007525,             0.52994,             0.66615,             0.60887,             0.36056,            0.032062,            0.011271,           0.0060525,             0.00391,             0.00391,             0.00391
                  83,            0.035935,            0.018451,             0.00744,             0.53537,             0.65943,             0.60914,              0.3607,            0.032068,            0.011259,           0.0060499,           0.0038214,           0.0038214,           0.0038214
                  84,            0.035972,            0.018572,           0.0074195,             0.52072,             0.67702,             0.60983,             0.36112,             0.03207,            0.011251,           0.0060361,           0.0037344,           0.0037344,           0.0037344
                  85,            0.035907,            0.018516,           0.0073041,             0.52488,             0.67376,             0.61075,             0.36163,            0.032065,            0.011237,            0.006018,           0.0036489,           0.0036489,           0.0036489
                  86,            0.035918,            0.018491,            0.007268,             0.52507,             0.67468,             0.61164,             0.36241,            0.032071,            0.011228,           0.0060039,            0.003565,            0.003565,            0.003565
                  87,              0.0357,            0.018485,           0.0071995,             0.54772,             0.64875,             0.61228,             0.36298,             0.03209,            0.011221,           0.0059915,           0.0034827,           0.0034827,           0.0034827
                  88,            0.035701,            0.018418,           0.0073111,             0.54976,             0.64645,             0.61268,             0.36348,            0.032088,            0.011212,           0.0059865,           0.0034022,           0.0034022,           0.0034022
                  89,            0.035635,            0.018392,           0.0070762,             0.54181,              0.6559,             0.61309,             0.36356,            0.032082,            0.011207,           0.0059813,           0.0033235,           0.0033235,           0.0033235
                  90,            0.035706,            0.018414,           0.0070878,             0.54443,             0.65408,             0.61366,              0.3644,            0.032048,            0.011197,           0.0059705,           0.0032466,           0.0032466,           0.0032466
                  91,            0.035542,             0.01829,           0.0070793,             0.54146,              0.6569,             0.61395,             0.36449,            0.032053,            0.011192,           0.0059571,           0.0031716,           0.0031716,           0.0031716
                  92,            0.035574,            0.018358,           0.0070716,             0.54298,             0.65543,             0.61463,              0.3648,            0.032037,            0.011188,            0.005944,           0.0030985,           0.0030985,           0.0030985
                  93,            0.035709,            0.018379,           0.0070264,             0.53864,             0.66114,             0.61516,              0.3653,            0.032012,            0.011185,           0.0059375,           0.0030274,           0.0030274,           0.0030274
                  94,            0.035548,            0.018303,           0.0070124,              0.5524,             0.64798,             0.61588,             0.36584,            0.031995,             0.01117,           0.0059291,           0.0029584,           0.0029584,           0.0029584
                  95,            0.035385,            0.018295,           0.0068963,             0.55131,             0.65092,             0.61667,             0.36621,            0.031961,            0.011161,           0.0059231,           0.0028914,           0.0028914,           0.0028914
                  96,            0.035564,            0.018353,           0.0069852,             0.54819,             0.65447,             0.61725,             0.36701,             0.03192,            0.011147,           0.0059193,           0.0028266,           0.0028266,           0.0028266
                  97,            0.035332,            0.018421,           0.0068608,             0.55624,             0.64749,             0.61812,             0.36742,            0.031917,            0.011136,           0.0059129,           0.0027639,           0.0027639,           0.0027639
                  98,            0.035221,            0.018251,           0.0069133,             0.55736,              0.6479,              0.6187,             0.36794,            0.031905,            0.011132,           0.0059028,           0.0027035,           0.0027035,           0.0027035
                  99,            0.035273,            0.018339,            0.006756,             0.55625,             0.64905,             0.61958,             0.36822,            0.031912,            0.011129,            0.005892,           0.0026453,           0.0026453,           0.0026453
                 100,            0.035287,            0.018216,           0.0066443,             0.53661,             0.67024,             0.62014,             0.36882,            0.031901,             0.01112,           0.0058873,           0.0025894,           0.0025894,           0.0025894
